sentiment,description,id
positive,"Mia is a beautiful 2 year old, 50 pound husky mix... Very sweet and super active! Loves the car, dog...",48549657
positive,"______ DOB/AGE: 09/02/2019 WEIGHT (GROWN): 60-65 lbs   I am currently in foster care, but very much adoptable.  You will need...",48549987
negative,This handsome guy is Reece! He is a 9 month old brindle pit who was owner released to the shelter...,48553523
negative,None,48549591
negative,"Hopper is a sweet boy! He is very scared at first, and will need a patient owner. He was so...",48550972
positive,** COVID-19 UPDATES ARE AVAILABLE ON OUR WEBSITE AT https://westvalleyhumanesociety.org/COVID/ **  All dogs adopted from West Valley Humane Society are...,48551119
negative,None,48552670
positive,New to STAR,48552934
positive,"Moscato is very sweet floofy boy, around 10 weeks old, with GIANT paws. He was picked up with his sister...",48555064
positive,"I am 27 lbs., 2 years old, and l am looking for my forever home.  Adoption Donation: $450  All dogs...",48555434
negative,8 month old male $250,48551027
positive,None,48553221
positive,None,48551070
negative,"Lulu is the best dog ever. You just can&#039;t go wrong with this wonderful, sweet, friendly, social, well mannered girl....",48553558
positive,PLEASE do not email us through the Petfinder inquiry but our direct email address. Emails through Petfinder will more than...,48550948
negative,"Hi. My name is Coco.  Nobody understands why I was at a shelter because I&#039;m awfully sweet, smart, pretty and...",48554634
positive,very calm and laid back likes other dogs but does not &#039;play rough,48551066
positive,You can fill out an adoption application online on our official website.  Tonka is a gentle giant. We believe this...,48551089
negative,"BIO TO COME SOON   All of our dogs are current on vaccinations which include Rabies and Distemper/Parvo, they are spayed...",48551123
negative,None,48554321
positive,We are calling this girl Kara. She was found on Marshall on or around 7/17/2020. She is about a year...,48555160
positive,Meet Pacey!! She came in as a stray on 7/20/20. We think she is about a year old. She is...,48552922
negative,Charlie&amp;#39;s home burnt down and he was left there alone for two weeks. His Kentucky rescue angels found him and...,48551031
positive,"Asha is such a sweet girl. Friendly, smart, social, and affectionate, this beautiful 3 year old girl is about 60...",48550335
positive,"You can fill out an adoption application online on our official website.  Check out these two beautiful, smart and sassy...",48551524
positive,You can fill out an adoption application online on our official website.,48549860
positive,Norah is a lovebug!  She is an one year old baby girl that loves people!  She loves to ride on...,48554301
positive,Adorable 5 month old Plotthound mix puppy rescued from a high kill shelter in Georgia.,48552685
positive,"Hi, My name is Taffy and I am a 3 month old Walker hound mix. My mom was about medium...",48550207
positive,Labs are known to be great family dogs. Their temperament makes them perfect to be around other pets and children....,48553217
positive,"This adorable, spunky little dude is Fox!  Fox is a 7-year-old Corgi mix who was surrendered to our shelter after...",48553647
positive,"Donna is only about 1 1/2 yrs old.  Adoption fee is 125.00 which includes spay, vaccines, and microchip www.JARMission.org 843-726-7799",48553493
positive,"Relinquished to the shelter due to his owners poor health, Tubby was with his owner all of his life, so...",48551504
negative,None,48551011
positive,Adoption Fee: $450  Transport Fee: $160  Shep is around 2 years old. He was found and taken to the vet...,48555052
positive,Apply at: http://caninehumane.org/adoption-application/  Meet Riddler!  He is a sweet hound mix about 8-9 lb and 9 wks so. He is...,48550179
positive,"Emori is a five-year-old, 59-pound English Pointer mix.  She was turned in at the county shelter as a stray and...",48555394
positive,Jack Russell Terrier / Chihuahua mix – Tri Color Male 1 1/2 years 10 ½ pounds If interested in adopting...,48553485
positive,Kenny is one of nine dogs we took in from an elderly owner unable to care for them any longer....,48550753
positive,"Sammi is approx. 4mo old and a pointer mix, around 35lb. She will be ready to travel to New England...",48553190
negative,"Sampson DOB: April 13, 2020 Adoption fee: $225.00 Sampson is a male Heeler/Catahoula mix.  I am a playful little boy...",48554439
positive,Taryn is a 5 year old Boxer mix rescued from a high kill shelter in Georgia.,48552693
negative,Text 714-882-9865,48555156
positive,None,48555290
positive,You can fill out an adoption application online on our official website.Sweet Holly is a 10 year old 11 lb....,48549749
positive,Carmen weighs 58 pounds.  The adoption fee for dogs is $40.00 and $30.00 for cats. A pre-adoption questionnaire and an...,48554229
positive,You can fill out an adoption application online on our official website.,48554679
positive,None,48551181
negative,"Shelter arrival date: July 20th, 2020  Hi! My name is Hunter and I came to the shelter with my brother...",48555068
positive,"Benny is a sweet, adorable puppy!  His mom was found as a stray and is very sweet as well!  We...",48553503
negative,"PEANUT BUTTER  MALE PLOTT HOUND MIX AGE 8 MONTHS WEIGHT 50 COLORS BROWN BRINDLE/WHITE COAT SHORT NEUTERED Chipped  Oh, my!...",48554946
positive,"Baby Julio is a gorgeous mixed baby boy looking for his forever home,  He is amazing with kids and dogs,...",48554415
positive,"***We appreciate your interest in adopting a pug in need. Please respect our process and our time, as we are...",48555195
positive,This handsome boy is Bubba! He is a 2 year old male Hound mix. He weighs 40 pounds. A nice...,48550378
negative,FILL OUT AN APPLICATION @ WWW.SAVEAMOMRESCUE.COM. ALL APP&#039;S ARE PROCESSED AND APPOINTMENTS SCHEDULED TO MEET THE DOGS IN THE ORDER...,48550682
negative,"Are you looking for a constant companion? Buddy would LOVE to be the star in your show, and will happily...",48550728
negative,None,48551210
positive,You can fill out an adoption application online on our official website.Meet Sahara! When this girl was first rescued in...,48554911
positive,NOTE:  The mailbox petfinder sends the &quot;Ask About&quot; email inquiries to is not as closely monitored as the email address...,48549765
positive,** COVID-19 UPDATES ARE AVAILABLE ON OUR WEBSITE AT https://westvalleyhumanesociety.org/COVID/ **  All dogs adopted from West Valley Humane Society are...,48552579
positive,"Are you looking for a fun, spunky, cute and cuddly little girl? Then look no further!!! My name is Arbella,...",48553407
positive,4 Precious Paws Rescue holds pet adoptions every Saturday at the Carmel PetSmart Store from 12:00pm until 3:00pm. located at...,48553811
positive,You can fill out an adoption application online on our official website.Blink is super sweet and mellow. She will probably...,48553542
positive,"Please send Anna a text at 407.952.1037 to schedule and appointment to meet this furbaby.   This puppy comes Spayed/Neutered, current...",48550944
positive,Addison is a sweet 1-yr old Australian Cattle Dog mix. She&#039;s medium energy &amp; loves affection! She does exhibit some...,48552996
positive,You can fill out an adoption application online on our official website.,48552611
positive,READ ALL INFORMATION BELOW.    Very sweet.  Kujo came from a neglect case locally.  He is approximately 5 years of age...,48553450
negative,"Sassy DOB: April 13, 2020 Adoption fee: $225.00 Sassy is a female Heeler/Catahoula mix.  I am a little shy. I...",48554403
positive,My owner turned me in because I didn&#039;t want to hunt. I have lived with other beagles and should adapt...,48555212
positive,None,48555357
positive,"HERCULES - 1-5 years old, 50 pounds, house trained, crate trained, good with kids and dogs.  Seeing the inside of...",48550155
positive,Applications now being accepted!! Devito is a friendly basset terrier mix who is estimated around one year old. He’s around...,48554402
positive,"Hi! Would you like to play? My name&amp;#39;s Rylie. I&amp;#39;m a 7-lb, 13-week-old blue heeler/shepherd mix and I love to...",48555213
positive,"Until further notice, to adhere to CDC&amp;#39;s recommended sanitation guidelines and to promote social distancing, meet &amp;amp; greets and adoptions...",48555356
positive,You can fill out an adoption application online on our official website..,48550154
negative,"Trixie is an adult mix type dog, with our best guess of age around 5 years old and best guess...",48553282
positive,"Sweet  BECKY ACR17276 is a female, tan and white American Bulldog Boxer mix; weighing in at about 50 lbs and...",48551196
negative,"I am a super beautiful man that loves the ladies! While I am friendly with men, I will claim my...",48549549
positive,"Mac is just wonderful. Sweet, affectionate and just a big mush. Mac is 2 years old and 50 lbs and...",48554005
positive,***Due to Covid-19 we are ONLY scheduling meetings AFTER we have received your Adoption Application.  Applications are found at therescuevets.com.***...,48550380
positive,"Pillsbury is an eleven-year-old, 27-pound, male, Miniature Pinscher. He was recently brought in as a stray. Pillsbury is a gentle,...",48551084
negative,Meet Horatio! He is a handsome guy who currently weighs about 55 pounds but may gain another pound or two....,48554855
negative,None,48554156
negative,Brandy is such a good girl! She is only 40 pounds and greets everyone with a smile and a wag....,48554785
positive,"Meet Rita!  Hello, I&#039;m Rita! I&#039;m 10 years old and 15 pounds. I was surrendered with my daughter, Sasha, and...",48550683
positive,Meet Berry! Are you looking for a running partner or someone to enjoy the outdoors with? Or a pup that...,48550729
positive,"Eggroll was part of a playgroup with other dogs on 7/21/20. Eggroll was friendly, social, and chill.",48554101
positive,"My name is Frankie. Let us be clear. I am a female. Somehow I got Frankie as a name, but...",48549733
positive,None,48554678
negative,"Shelter arrival date: July 20th, 2020  My name is Carter! I am friendly and I like to go for walks....",48555069
positive,"Meet good dog Sarge, who has spent 7 years protecting the free world from the vacuum cleaner menace, and deserves...",48550791
positive,"You can fill out an adoption application online on our official website. Hi, I&amp;#39;m Shinx! I&amp;#39;m a puppy! I&amp;#39;m a...",48552743
negative,Sweet little Travis was found as a stray and is now searching for an everlasting home.  He wants what every...,48553502
positive,"&quot;Hiya! Thanks for visiting me online! My name is Max, and I am around 9 months old and about 30...",48552554
positive,"You can fill out an adoption application online on our official website.  Cute puppy alert! Say hello to JABBA, a...",48549748
positive,"Hello, I&#039;m Brownie! I&#039;m a 7 year old, male, Retriever/Spaniel mix rescued from a high kill shelter in Georgia. I&#039;m...",48552692
positive,"You can fill out an adoption application online on our official website.BONDED PAIR! Must be adopted together. Super sweet, easy...",48551051
negative,None,48549898
negative,"Shelter arrival date: June 4th, 2020   My name is Jasmine and I am a good girl! I am spayed, up-to-date...",48549932
positive,This male Chihuahua was picked up on 07-21-20 in the 2700 Block of Thunderbird. He will be held until 07-25-20...,48554592
negative,-Dutchess -Female -6 years old  Dutchess can be nervous at first but warms up quickly. She is perfect for someone...,48550928
positive,"I am 4 months old, and l am looking for my forever home.  Adoption Donation: $500  All dogs are microchipped,...",48554438
negative,None,48551143
positive,You can fill out an adoption application online on our official website.Playful Nala is a 2 year old 35 lb...,48550752
positive,Forest is a sweet dog who is very friendly too. He has a good nature about him and is about...,48552903
positive,"Hi, my name is Piper! I was born 5/25/2020 so I am about 8 weeks old. I am a small...",48550894
negative,"Piccolo is a 1 year-old Shepard x male.  He is curious, people oriented, and good with other dogs. Piccolo walks...",48555116
positive,"Very friendly, lovable",48551505
positive,Meet Maple ?? she is a 5 month old Labrador Retriever/Beagle mixweighing in at 27 lbs. She is sweet and...,48550601
positive,You can fill out an adoption application online on our official website.Otis is a precious one year old terrier mix....,48555403
positive,"Please send Anna a text at 407.952.1037 to schedule and appointment to meet this furbaby.   This puppy comes Spayed/Neutered, current...",48550986
positive,"88619 2-5 YRS AVAILABLE  - 7/28 Services included with the $60 adoption fee: Spay or neuter, surgery related pain medications,...",48550206
positive,Opal (GS Opal) is a 3 year old female retired racing greyhound from Alabama. Opal is looking for a retired...,48550764
positive,***Due to Covid-19 we are ONLY scheduling meetings AFTER we have received your Adoption Application.  Applications are found at therescuevets.com.***...,48550334
positive,Jack is a pup of many talents - one of them being a crate escape artist extraordinaire! This handsome boy...,48553518
positive,You can fill out an adoption application online on our official website.,48551525
negative,Roxy is a sweet 9 month old blue heeler mix. She can be shy in new places but is quick...,48550676
positive,PLEASE COMPLETELY READ THE ENTIRE DESCRIPTION   We are a foster home based rescue organization.   **Only approved adopters can meet our...,48551067
positive,You can fill out an adoption application online on our official website.,48551088
negative,None,48554320
negative,Barack is living in a foster home. Submit an application from our website and then make an appointment to meet...,48549791
positive,"Juno is more than just a beautiful face, she also has a fun personality! Juno gets along well with everyone...",48555198
positive,"The adoption fee for dogs is $50. Puppy adoption fee is $90 All our dogs and puppies are spayed/neutered, microchipped...",48555527
positive,"Taking home a new dog can sometimes be a challenge, but it really doesn’t get much easier than Jane. She...",48555177
positive,AMBER IS SPECIAL NEEDS. PLEASE READ.  THEN RE-READ BEFORE YOU APPLY.  Amber was turned in with her two sisters to...,48550549
positive,"You can fill out an adoption application online on our official website.  Bernie is a 1.5 year old, 15 pound,...",48554224
negative,None,48551163
negative,Breed:  Terrier mix Age:  9 yrs. Weight:  16 lbs. Good with dogs:  yes Good with cats:  unsure Good with kids:...,48551499
positive,"Meet Midnight, born on April 1 of this year, his year started out a bit rough.  Midnight broke with parvo,...",48553277
positive,Lily is a young spayed female under a year old. She loves to play and go for daily walks. She...,48555209
positive,"This jovial, silly, 55# lab mix boy is Seymour.  Seymour has been in his Kentucky foster care for a few...",48549695
positive,You can fill out an adoption application online on our official website.VRS 8/3/20 pr  Age:  Weight:  Dog friendly:  Cat friendly:...,48553575
negative,"BIO TO COME SOON   All of our dogs are current on vaccinations which include Rabies and Distemper/Parvo, they are spayed...",48551118
positive,"pet id 45062203         Because of the COVID19 situation, the shelter is closed to the general public. If you would like...",48553826
positive,Lucy is a wonderful happy girl. Very playful. Does well with her dog friends in puppy daycare. Would recommend a...,48550709
positive,20-d07-018 Sable Breed: Pit Bull Terrier Mix  Size: Large Age at Intake:  2 Years Gender: Female Weight:  60 lb. 2...,48553963
positive,"Joanne is a sweet, adorable puppy!  Her mom was found as a stray and is very sweet as well!  We...",48553488
negative,I know the sit command. I am friendly and take treats genly. I like to play with the toys. I...,48553037
positive,Dexie wants to please but is just learning how. She is a very timid girl especially when approached quicker than...,48554121
negative,"Young, fun, and full of energy, this perky pal is precious and playful at only 3 years old. Toffee is...",48554988
positive,"Meet Zeus the Deuce, aka &amp;#34;Zeuski&amp;#34; to his friends lol! Sweet affectionate husky, energetic and playful, loves other dogs, people,...",48549656
positive,"Please send Anna a text at 407.952.1037 to schedule and appointment to meet this furbaby.   This puppy comes Spayed/Neutered, current...",48550924
negative,Very timid but also very sweet. He is not a fan of leashes and needs to be carried sometimes. He...,48553534
positive,You can fill out an adoption application online on our official website.I am a sweet dog who is looking for...,48551509
positive,"Sandy is set to be spayed on July 24, she will be available shortly after. If you&amp;#39;re interested in adopting...",48551159
negative,"Veda is a sweet girl who won the hearts of our staff the moment she arrived. Unfortunately, her owner encountered...",48549569
negative,All people inquiring about pets listed as Courtesy Listings on the EAPL website and/or EAPL posting adoption boards should contact...,48549586
negative,None,48551270
negative,"Litter of 8, born approx 2/27/20 and rescued from a high kill pound  Please visit www.handsheartspaws.org for an adoption application...",48554588
positive,PLEASE do not email us through the Petfinder inquiry but our direct email address. Emails through Petfinder will more than...,48550932
positive,Hattie is a 4 year old Terrier mix rescued from a high kill shelter in Georgia.,48552688
positive,Case #15958B. Perch is a 3 1/2 month old Shepherd Mix that was at large with his mom. Perch and...,48549882
positive,"Dina is only about 1 1/2 yrs old.   Adoption fee is 125.00 which includes spay, vaccines, and microchip www.JARMission.org 843-726-7799",48553426
negative,Meet Virgil! Virgil is a happy happy dog! He is friendly with people and has a generally happy disposition. He...,48554160
positive,"Meet Omar, Omar will be a small/medium sized dog. He is a total mix of breeds: Terrier, Chi, Pug...but he...",48555321
positive,"DORA  Female SHEP MIX BRINDLE 13 2DHPP KC 2/15/2020 NO PUPPY  Hi Cathleen, She is doing great and really starting...",48549617
positive,Meet Nova!  Now that she is done raising her pups she is looking for a home of her own where...,48550965
